Category,Title,Abstract,URL,Published Date,Section
world,"‘Make Greenland Great Again’? No Thank You, Greenlanders Say.","After Donald Trump suggested he might take over Greenland by force, the consensus among the island’s population appears to be bewilderment and anxiety.",https://www.nytimes.com/2025/01/08/world/asia/greenland-trump-denmark.html,2025-01-08T10:08:43-05:00,world
world,"With Stakes High, Lebanese Lawmakers to Try Again to Choose a President","Despite pressure by the United States and others to elect a president in order to receive financial support, a consensus candidate has yet to emerge who can clearly end Lebanon’s political gridlock.",https://www.nytimes.com/2025/01/08/world/middleeast/lebanon-politics-president-parliament-vote.html,2025-01-08T05:01:31-05:00,world
world,"Iran Was ‘Defeated Very Badly’ in Syria, a Top General Admits","For weeks, Iranian officials have downplayed the fall of their ally in Syria. But an important general has offered a remarkably candid view of the blow to Iran, and its military’s prospects.",https://www.nytimes.com/2025/01/08/world/middleeast/iran-general-syria-defeat.html,2025-01-08T15:10:39-05:00,world
world,"Russian Strike Kills 13 in Zaporizhzhia, Ukraine","The attack, which also wounded dozens of people, came hours after Ukraine’s military attacked an oil depot deep inside Russia.",https://www.nytimes.com/2025/01/08/world/europe/ukraine-russia-oil-depot.html,2025-01-08T07:14:45-05:00,world
world,"In Death, Jean-Marie Le Pen of France Is Embraced by Far-Right Party He Once Led","For years, the far-right National Rally tried to distance itself from Mr. Le Pen’s racist and antisemitic remarks. But after his death Tuesday, it hailed him as a visionary.",https://www.nytimes.com/2025/01/08/world/europe/france-le-pen-death-national-rally.html,2025-01-08T09:29:29-05:00,world
technology,"As Elon Musk Embraces Far Right, Some of Its Top Figures Reject Him",Mr. Musk has fallen out with prominent right-wing Americans who say they are worried that their agenda may be sidelined in favor of his own — and that he is willing to silence them on X.,https://www.nytimes.com/2025/01/08/technology/elon-musk-far-right.html,2025-01-08T10:04:54-05:00,technology
technology,What’s Behind Meta’s MAGA Makeover?,Mark Zuckerberg is positioning his company for a second Trump term — and revealing the hollow identity at its core.,https://www.nytimes.com/2025/01/08/technology/meta-facebook-trump-mark-zuckerberg.html,2025-01-08T11:46:53-05:00,technology
technology,"Mark Zuckerberg’s Political Evolution, From Apologies to No More Apologies",Meta’s chief executive has stepped away from his mea culpa approach to issues on his platforms and has told people that he wants to return to his original thinking on free speech.,https://www.nytimes.com/2025/01/07/technology/mark-zuckerberg-meta-free-speech.html,2025-01-07T16:10:43-05:00,technology
technology,AT&T to Credit Customers After Internet Outages,The announcement follows a year of high-profile internet blackouts that hit several companies.,https://www.nytimes.com/2025/01/08/technology/att-outages-credit.html,2025-01-08T08:00:05-05:00,technology
technology,Sam Altman’s Younger Sister Files Lawsuit Claiming He Sexually Abused Her,"OpenAI’s chief executive and founder denies the allegations, which are similar to claims his sister has long made online.",https://www.nytimes.com/2025/01/08/technology/sam-altman-sister-lawsuit.html,2025-01-08T14:30:07-05:00,technology
business,Port Strike Averted With Labor Deal Days Before Deadline,Dockworkers and employers on the East and Gulf Coasts had until Jan. 15 to reach a new agreement that settled differences over automation.,https://www.nytimes.com/2025/01/08/business/port-strike-labor-deal.html,2025-01-08T19:05:56-05:00,business
business,"As Elon Musk Embraces Far Right, Some of Its Top Figures Reject Him",Mr. Musk has fallen out with prominent right-wing Americans who say they are worried that their agenda may be sidelined in favor of his own — and that he is willing to silence them on X.,https://www.nytimes.com/2025/01/08/technology/elon-musk-far-right.html,2025-01-08T10:04:54-05:00,technology
business,More Companies Are Betting on Bitcoin,"It is a sharp pivot away from the cautious approach of the traditional corporate treasury, normally charged with safeguarding cash rather than chasing higher returns.",https://www.nytimes.com/2025/01/08/business/bitcoin-crypto-company-treasury.html,2025-01-08T05:00:21-05:00,business
business,"Ozempic, Legos and Hearing Aids: What Trump’s Greenland Plan Could Hit","Putting tariffs on Denmark unless it cedes the island of Greenland could hurt access to a few key products, including popular medicines.",https://www.nytimes.com/2025/01/08/us/politics/trump-greenland-denmark-ozempic.html,2025-01-08T12:22:18-05:00,us
business,U.A.W. Seeks Union Election at Ford Battery Joint Venture in Kentucky,The United Automobile Workers union asked a federal labor regulator to conduct an election at a factory Ford jointly owns with a South Korean battery company.,https://www.nytimes.com/2025/01/08/business/ford-union-election-kentucky-factory.html,2025-01-08T10:38:17-05:00,business
science,Sign Up for the Science Times Newsletter,"Every week, we’ll bring you stories that capture the wonders of the human body, nature and the cosmos.",null,2016-02-05T18:18:53-05:00,science
science,,,,2015-04-16T14:13:18-04:00,admin
science,Study Links High Fluoride Exposure to Lower I.Q. in Children,"The results of a new federal analysis were drawn from studies conducted in other countries, where drinking water contains more fluoride than in the United States.",https://www.nytimes.com/2025/01/08/health/fluoride-children-iq.html,2025-01-08T16:14:22-05:00,health
science,Abortion Pills Prescribed by Pharmacists Are Newest Effort in Abortion Fight,"Washington State’s program is the first, but other states are expected to try allowing pharmacists to prescribe the pills to counter growing efforts to curtail abortion access.",https://www.nytimes.com/2025/01/07/health/abortion-pills-pharmacist-prescribe.html,2025-01-07T09:00:13-05:00,health
science,Drug Company to Share Revenues With Indigenous People Who Donated Their Genes,"Variant Bio, a small biotech company based in Seattle, is using genetic information from Indigenous people to develop drugs for obesity and diabetes.",https://www.nytimes.com/2025/01/07/health/variant-bio-novo-nordisk-indigenous-revenue-sharing.html,2025-01-07T07:03:06-05:00,health
health,,,,2015-04-16T14:13:18-04:00,admin
health,"Carole Wilbourn, Who Put Cats on the Couch, Dies at 84","When cats bite or scratch, they’re trying to tell you something. Wilbourn, a cat therapist, was a pioneer in the art of listening to them.",https://www.nytimes.com/2025/01/08/style/carole-wilbourn-dead.html,2025-01-08T17:28:49-05:00,style
health,A Ballerina Prized for Her Musicality Deals With Hearing Loss,"Sara Mearns, the New York City Ballet principal, announced her 10-year struggle on Instagram. She tested out her new hearing aids in “The Nutcracker.”",https://www.nytimes.com/2025/01/06/arts/dance/sara-mearns-hearing-loss-ballerina.html,2025-01-06T12:23:22-05:00,arts
health,Surgeon General Calls for Cancer Warnings on Alcohol,"Dr. Vivek Murthy’s report cites studies linking alcoholic beverages to at least seven malignancies, including breast cancer. But to add warning labels, Congress would have to act.",https://www.nytimes.com/2025/01/03/health/alcohol-surgeon-general-warning.html,2025-01-03T07:00:05-05:00,health
health,She Often Fainted in Hot Weather. What Was Wrong?,"The woman, a field geologist, was healthy and active, yet she would pass out at inopportune moments.",https://www.nytimes.com/2025/01/03/well/hot-weather-fainting-hocm-heart-condition.html,2025-01-03T05:00:56-05:00,well
